county,year,naics,emp,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
CAMPO,2010,339932,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,339942,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,339950,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,339992,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423210,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423310,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423320,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423420,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423430,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423440,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423510,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423610,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423690,76,4,2,0,0,2,0,0,0,0,0,0,0,0,0
CAMPO,2010,423820,20,2,0,1,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423830,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423840,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423850,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,423990,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,424210,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,424490,88,2,1,0,0,0,1,0,0,0,0,0,0,0,0
CAMPO,2010,424690,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,424910,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,425120,59,25,23,1,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,441110,212,6,0,0,1,4,1,0,0,0,0,0,0,0,0
CAMPO,2010,441120,12,5,4,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,441221,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,441222,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,441310,79,7,3,1,2,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,441320,51,5,1,2,2,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,442110,51,6,3,1,1,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,442210,22,3,0,2,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,442291,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,442299,33,7,6,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,443111,22,3,1,1,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,443112,37,7,4,2,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,443120,16,3,1,2,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,443130,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,444110,140,2,0,0,0,1,0,1,0,0,0,0,0,0,0
CAMPO,2010,444120,14,2,0,2,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,444130,26,5,3,2,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,444190,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,444210,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,444220,55,6,1,3,1,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,445110,789,13,1,0,1,4,4,3,0,0,0,0,0,0,0
CAMPO,2010,445120,69,11,4,5,2,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,445220,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,445299,48,4,0,1,3,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,445310,38,7,3,3,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,446110,68,4,1,1,0,2,0,0,0,0,0,0,0,0,0
CAMPO,2010,446120,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,446130,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,446191,12,3,2,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,446199,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,447110,40,5,0,3,2,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,447190,30,5,2,3,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,448110,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,448120,60,7,2,2,3,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,448130,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,448140,49,2,0,1,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,448150,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,448190,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,448210,68,8,1,5,1,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,448310,22,5,2,3,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,451110,81,8,4,0,3,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,451120,83,7,2,2,1,2,0,0,0,0,0,0,0,0,0
CAMPO,2010,451130,34,5,1,3,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,451140,18,3,2,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,451211,165,6,2,1,1,1,0,1,0,0,0,0,0,0,0
CAMPO,2010,452112,209,4,0,0,0,3,1,0,0,0,0,0,0,0,0
CAMPO,2010,452910,182,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CAMPO,2010,452990,28,4,2,0,2,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,453110,12,3,1,2,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,453210,54,3,0,0,1,2,0,0,0,0,0,0,0,0,0
CAMPO,2010,453220,32,3,0,2,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,453310,63,8,3,3,1,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,453910,40,3,0,1,1,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,453920,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,453991,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,453998,25,4,1,3,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,454111,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,454113,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,454210,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,454312,15,2,1,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,454390,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,481212,71,2,0,1,0,0,1,0,0,0,0,0,0,0,0
CAMPO,2010,484110,38,2,1,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,484121,25,4,2,1,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,484210,15,2,1,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,484220,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,485310,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,485410,23,2,0,1,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,485991,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,485999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,488119,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,488190,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,488410,22,2,0,1,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,488510,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,491110,98,2,0,0,1,0,1,0,0,0,0,0,0,0,0
CAMPO,2010,492110,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,492210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,493190,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,511120,33,2,1,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,511130,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,511210,269,16,5,4,3,3,0,1,0,0,0,0,0,0,0
CAMPO,2010,512110,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,512120,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,512131,46,3,1,0,1,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,512230,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,515111,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,517110,171,8,4,1,0,1,2,0,0,0,0,0,0,0,0
CAMPO,2010,518210,263,4,3,0,0,0,0,0,1,0,0,0,0,0,0
CAMPO,2010,519130,13,6,5,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,522110,185,17,4,6,6,0,1,0,0,0,0,0,0,0,0
CAMPO,2010,522120,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,522130,173,6,0,3,0,2,0,1,0,0,0,0,0,0,0
CAMPO,2010,522220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,522292,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,522293,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,522310,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,523120,43,13,12,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,523920,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,523930,14,7,6,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,524126,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,524127,14,3,2,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,524210,116,30,25,2,2,1,0,0,0,0,0,0,0,0,0
